bookings_id,name,thumbnail,subcategory,city,longitude,latitude,address,district,price,currency_code,rating,popularity,detail_url
3932853,The Gate Hotel Tokyo by Hulic,https://cf.bstatic.com/xdata/images/hotel/square60/219186638.jpg?k=2345e338a266b160d19f5adda9137b1761aab25ef558b1d8184da836358cadc1&o=,Hotel,Tokyo,139.761434,35.672797,Chiyoda-ku Yuraukucho 2-2-3,Chiyoda,20808.8,JPY,8.9,1046.0,https://www.booking.com/hotel/jp/the-gate-tokyo-by-hulic-dong-jing.html
2790681,MIMARU TOKYO UENO NORTH,https://cf.bstatic.com/xdata/images/hotel/square60/247501097.jpg?k=d2c03c92c3ab6e42e3876b2a6290fcddb7acd48983fca286f37912ba78e69a9a&o=,Hotel,Tokyo,139.780543579762,35.7164714336348,Taito-ku Ueno 7-14-4,Taito,14630.0,JPY,9.0,261.0,https://www.booking.com/hotel/jp/mimaru-tokyo-ueno-north.html
4876056,Mitsui Garden Hotel Jingugaien Tokyo Premier,https://cf.bstatic.com/xdata/images/hotel/square60/228794078.jpg?k=2eb2246744bd4a20d2381bb3a6e67598117f6102cb13462854d8cd54a212d862&o=,Hotel,Tokyo,139.715965163574,35.6799764084361,Shinjuku-ku Kasumigaoka-cho 11-3,Shinjuku Ward,14866.74,JPY,8.8,3821.0,https://www.booking.com/hotel/jp/mitsui-garden-jingugaien-tokyo-premier.html
2456812,Candeo Hotels Tokyo Roppongi,https://cf.bstatic.com/xdata/images/hotel/square60/145640940.jpg?k=25f53d1ad047afcd086e5dd7c732982481ebd9d1f65be981b4fcf76533d1bdd6&o=,Hotel,Tokyo,139.7326647,35.6622753,Minato-ku Roppongi 6-7-11,Minato,15988.5,JPY,8.4,1426.0,https://www.booking.com/hotel/jp/candeo-hotels-toyo-roppongi.html
5722850,PROSTYLE RYOKAN TOKYO ASAKUSA,https://cf.bstatic.com/xdata/images/hotel/square60/233239656.jpg?k=0ca71b7994a3e71cccc01c99885089da94f2215034dd348092aae1d11b3bfd7a&o=,Hotel,Tokyo,139.800868,35.714428,Taito-ku Hanakawado 2-12-11,Taito,13950.0,JPY,8.8,533.0,https://www.booking.com/hotel/jp/prostyle-ryokan-tokyo-asakusa.html
179801,Park Hotel Tokyo,https://cf.bstatic.com/xdata/images/hotel/square60/251024052.jpg?k=d3d2b7705d04e9d983bcbef326b547caae32afe004fb02dd9003b0b536f3e9f9&o=,Hotel,Tokyo,139.759617447853,35.6633589521554,Minato-ku Higashi Shimbashi 1-7-1,Minato,13176.5,JPY,8.9,1149.0,https://www.booking.com/hotel/jp/park-tokyo.html
254889,The Royal Park Hotel Iconic Tokyo Shiodome,https://cf.bstatic.com/xdata/images/hotel/square60/30886701.jpg?k=cb9261a150de681eec474edc50dcac335d9b211b498b7fb4ec62883bf404a69b&o=,Hotel,Tokyo,139.76041674614,35.6638754157313,"Minato-ku, Higashishimbashi 1-6-3",Minato,14098.95,JPY,8.8,3277.0,https://www.booking.com/hotel/jp/royalpark-shiodometower.html
7546799,Hotel GrandBach TokyoGinza,https://cf.bstatic.com/xdata/images/hotel/square60/333127576.jpg?k=dee1e4193d0f074537eaa848fc7b01b298ea93e65efdf85c9e0e8fa3428e1bd5&o=,Hotel,Tokyo,139.766965,35.668975,"5-13, Ginza, Chuo-ku",Chuo Ward,18348.3,JPY,8.8,133.0,https://www.booking.com/hotel/jp/grand-bach-tokyo-ginza-dong-jing-du.html
1747299,Hotel Mystays Premier Akasaka,https://cf.bstatic.com/xdata/images/hotel/square60/76546784.jpg?k=55a42ea0d5ea60d043a52485d8ce164f220e1218a78a3a71cf93ef797f08eac3&o=,Hotel,Tokyo,139.738374782873,35.670246136885,"Minato-ku, Akasaka 2-17-54",Minato,7200.0,JPY,8.5,1864.0,https://www.booking.com/hotel/jp/mystays-akasaka.html
6551294,The Gate Hotel Ryogoku by Hulic,https://cf.bstatic.com/xdata/images/hotel/square60/276058847.jpg?k=2ef640b4931b3c30de25b45787b01f3cf964441c5416522e843db6f58a67d710&o=,Hotel,Tokyo,139.792408,35.697824,Sumida-Ku Yokoami 1-2-13,Sumida Ward,14596.56,JPY,9.0,312.0,https://www.booking.com/hotel/jp/the-gate-liang-guo-by-hulic.html
