tripadvisor_id,name,thumbnail,longitude,latitude,city,state,country,address,price,currency_code,rating,popularity,subcategory,detail_url,weekday_hours,product_website
17510589,Taco Del Mar,,-157.94365,21.36217,Honolulu,Pearl City,Pacific/Honolulu,"1025 Quincy Street #1786, Pearl City, Oahu, HI 96860",0,JPY,,0,[],https://www.tripadvisor.com/Restaurant_Review-g60658-d17510589-Reviews-Taco_Del_Mar-Pearl_City_Oahu_Hawaii.html?m=66827,"['Monday: 08:00 - 20:00', 'Tuesday: 08:00 - 20:00', 'Wednesday: 08:00 - 20:00', 'Thursday: 08:00 - 20:00', 'Friday: 08:00 - 20:00', 'Saturday: 09:00 - 18:00', 'Sunday: 10:00 - 15:00']",http://www.tacodelmar.com
10300453,Ars Cafe,https://media-cdn.tripadvisor.com/media/photo-o/0d/2f/b6/8e/caption.jpg,-157.81276,21.269224,Honolulu,Honolulu,Pacific/Honolulu,"3116 Monsarrat Ave, Honolulu, Oahu, HI 96815-4484",1,JPY,4.5,72,['cafe'],https://www.tripadvisor.com/Restaurant_Review-g60982-d10300453-Reviews-Ars_Cafe-Honolulu_Oahu_Hawaii.html?m=66827,,http://ars-cafe.com/
4193595,Mia's Kitchen,,-157.87096,21.31617,Honolulu,Honolulu,Pacific/Honolulu,"650 Iwilei Rd Ste 125, Honolulu, Oahu, HI 96817-5086",0,JPY,,0,[],https://www.tripadvisor.com/Restaurant_Review-g60982-d4193595-Reviews-Mia_s_Kitchen-Honolulu_Oahu_Hawaii.html?m=66827,,
897863,Nanding's Bakery,https://media-cdn.tripadvisor.com/media/photo-o/08/d5/6a/05/nanding-s-bakery.jpg,-158.02046,21.379679,Honolulu,Waipahu,Pacific/Honolulu,"94-216 Farrington Hwy #b16, Waipahu, Oahu, HI 96797-1922",1,JPY,4.5,15,[],https://www.tripadvisor.com/Restaurant_Review-g60663-d897863-Reviews-Nanding_s_Bakery-Waipahu_Oahu_Hawaii.html?m=66827,"['Monday: 04:30 - 19:00', 'Tuesday: 04:30 - 19:00', 'Wednesday: 04:30 - 19:00', 'Thursday: 04:30 - 19:00', 'Friday: 04:30 - 19:00', 'Saturday: 04:30 - 19:00', 'Sunday: 04:30 - 19:00']",http://nandings-bakery-waipahu.edan.io/
20038061,Subway,,-157.88998,21.359928,Honolulu,Honolulu,Pacific/Honolulu,"1 Jarrett White Road AAFES 1st Floor, Honolulu, Oahu, HI 96859",0,JPY,,0,[],https://www.tripadvisor.com/Restaurant_Review-g60982-d20038061-Reviews-Subway-Honolulu_Oahu_Hawaii.html?m=66827,"['Monday: 07:00 - 18:30', 'Tuesday: 07:00 - 18:30', 'Wednesday: 07:00 - 18:30', 'Thursday: 07:00 - 18:30', 'Friday: 07:00 - 18:30', 'Saturday: 08:00 - 15:30', 'Sunday: 08:00 - 15:30']",https://restaurants.subway.com/united-states/hi/honolulu/1-jarrett-white-road?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=38557&utm_campaign=evergreen-2020&y_source=1_MTQ5MDMyOTUtNzY5LWxvY2F0aW9uLndlYnNpdGU%3D
16783418,Off The Hook Poke Market,https://media-cdn.tripadvisor.com/media/photo-o/16/b9/41/b4/caption.jpg,-157.81012,21.309832,Honolulu,Honolulu,Pacific/Honolulu,"2908 E Manoa Rd. Honolulu, HI 96822, Honolulu, Oahu, HI 96822-1801",1,JPY,4.5,18,[],https://www.tripadvisor.com/Restaurant_Review-g60982-d16783418-Reviews-Off_The_Hook_Poke_Market-Honolulu_Oahu_Hawaii.html?m=66827,,http://www.facebook.com/OffTheHookPokeMarket
433980,Nuuanu Okazu YA,https://media-cdn.tripadvisor.com/media/photo-o/11/71/a5/97/nuuanu-okazu-ya.jpg,-157.85812,21.31363,Honolulu,Honolulu,Pacific/Honolulu,"1351 Nuuanu Ave, Honolulu, Oahu, HI 96817-4033",0,JPY,3.5,7,['deli'],https://www.tripadvisor.com/Restaurant_Review-g60982-d433980-Reviews-Nuuanu_Okazu_YA-Honolulu_Oahu_Hawaii.html?m=66827,"['Monday: 05:00 - 13:00', 'Tuesday: 05:00 - 13:00', 'Wednesday: 05:00 - 13:00', 'Thursday: 05:00 - 13:00', 'Friday: 05:00 - 13:00', 'Saturday: Closed', 'Sunday: Closed']",https://www.facebook.com/pages/Nuuanu-Okazu/113336892032331
4162916,Baskin-Robbins,,-157.95923,21.36655,Honolulu,Honolulu,Pacific/Honolulu,"Kamehameha Shopping Ctr, Honolulu, Oahu, HI 96801",0,JPY,4.5,8,['fast_food'],https://www.tripadvisor.com/Restaurant_Review-g60982-d4162916-Reviews-Baskin_Robbins-Honolulu_Oahu_Hawaii.html?m=66827,"['Monday: 10:30 - 22:00', 'Tuesday: 10:30 - 22:00', 'Wednesday: 10:30 - 22:00', 'Thursday: 10:30 - 22:00', 'Friday: 10:30 - 22:30', 'Saturday: 10:30 - 22:30', 'Sunday: 10:30 - 22:00']",http://www.baskinrobbins.com
17393007,Subway,,-157.90771,21.38543,Honolulu,Aiea,Pacific/Honolulu,"New Uscincpac Hq Camp Smith, Aiea, Oahu, HI 96861",0,JPY,4.0,1,[],https://www.tripadvisor.com/Restaurant_Review-g60644-d17393007-Reviews-Subway-Aiea_Oahu_Hawaii.html?m=66827,"['Monday: 07:00 - 15:00', 'Tuesday: 07:00 - 15:00', 'Wednesday: 07:00 - 15:00', 'Thursday: 07:00 - 15:00', 'Friday: 07:00 - 15:00', 'Saturday: Closed', 'Sunday: Closed']",http://www.subway.com/en-us/findastore
16868664,Choco le'a,https://media-cdn.tripadvisor.com/media/photo-o/17/b8/2f/4f/photo1jpg.jpg,-157.8085,21.31043,Honolulu,Honolulu,Pacific/Honolulu,"2909 Lowrey Ave, Honolulu, Oahu, HI 96822-1667",0,JPY,4.5,4,[],https://www.tripadvisor.com/Restaurant_Review-g60982-d16868664-Reviews-Choco_le_a-Honolulu_Oahu_Hawaii.html?m=66827,,http://chocolea.com
24821257,Upstairs At Pier 38,https://media-cdn.tripadvisor.com/media/photo-o/25/1a/e4/86/a-starry-glow-from-the.jpg,-157.87704,21.317656,Honolulu,Honolulu,Pacific/Honolulu,"1129 North Nimitz Highway, Honolulu, Oahu, HI 96817",0,JPY,,0,"['french', 'steakhouse', 'bar', 'seafood', 'pub']",https://www.tripadvisor.com/Restaurant_Review-g60982-d24821257-Reviews-Upstairs_At_Pier_38-Honolulu_Oahu_Hawaii.html?m=66827,"['Monday: Closed', 'Tuesday: 17:00 - 21:00', 'Wednesday: 17:00 - 21:00', 'Thursday: 17:00 - 21:00', 'Friday: 17:00 - 21:00', 'Saturday: 17:00 - 21:00', 'Sunday: Closed']",http://www.nicosupstairs.com
21258414,FEAST by Jon Matsubara,https://media-cdn.tripadvisor.com/media/photo-o/1d/ac/f9/27/lobster-roll-close-up.jpg,-157.8088,21.31081,Honolulu,Honolulu,Pacific/Honolulu,"2970 E Manoa Rd, Honolulu, Oahu, HI 96822-1804",2,JPY,4.0,6,['contemporary'],https://www.tripadvisor.com/Restaurant_Review-g60982-d21258414-Reviews-FEAST_by_Jon_Matsubara-Honolulu_Oahu_Hawaii.html?m=66827,"['Monday: Closed', 'Tuesday: 11:00 - 14:00,  16:00 - 18:00', 'Wednesday: 11:00 - 14:00,  16:00 - 18:00', 'Thursday: 11:00 - 14:00,  16:00 - 18:00', 'Friday: 11:00 - 14:00,  16:00 - 18:00', 'Saturday: 11:00 - 14:00,  16:00 - 18:00', 'Sunday: Closed']",http://www.feastrestauranthawaii.com
823345,Senor Pepe,https://media-cdn.tripadvisor.com/media/photo-o/01/e0/d0/de/caption.jpg,-157.84418,21.290749,Honolulu,Honolulu,Pacific/Honolulu,"1450 Ala Moana Blvd Ste 1160F Suite 1160F, Makai Market food court, Ala Moana Center, Honolulu, Oahu, HI 96814-4606",1,JPY,3.5,32,"['mexican', 'fast_food']",https://www.tripadvisor.com/Restaurant_Review-g60982-d823345-Reviews-Senor_Pepe-Honolulu_Oahu_Hawaii.html?m=66827,"['Monday: 10:00 - 21:00', 'Tuesday: 10:00 - 21:00', 'Wednesday: 10:00 - 21:00', 'Thursday: 10:00 - 21:00', 'Friday: 10:00 - 21:00', 'Saturday: 09:30 - 21:00', 'Sunday: 10:00 - 19:00']",http://www.senorpepehawaii.com/contact-us.html
