tripadvisor_id,name,thumbnail,longitude,latitude,city,state,country,address,price,currency_code,estimated_time,subcategory,rating,popularity,detail_url,product_website,weekday_hours,neighbors
13476039,Botchiriya,,139.7378,35.703,tokyo,Shinjuku,Asia/Tokyo,"6-8-12 Kagurazaka, Shinjuku 162-0825 Tokyo Prefecture",,JPY,2,"[{'name': 'nightlife', 'localized_name': 'Nightlife'}]",3.5,3,https://www.tripadvisor.com/Attraction_Review-g1066457-d13476039-Reviews-Botchiriya-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,,,['7278769']
10184109,Minatogaoka Futo Park,,139.76207,35.599136,tokyo,Shinagawa,Asia/Tokyo,"3-1-11 Yashio, Shinagawa 140-0003 Tokyo Prefecture",,JPY,2,"[{'name': 'nature_parks', 'localized_name': 'Nature & Parks'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",2.5,4,https://www.tripadvisor.com/Attraction_Review-g1066854-d10184109-Reviews-Minatogaoka_Futo_Park-Shinagawa_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,,,['7278774']
23203650,The Pedal Ship,,139.79312,35.653378,tokyo,Toyosu,Asia/Tokyo,"2 -3-6 Toyosu Park, Toyosu, Koto 135-0061 Tokyo Prefecture",,JPY,2,"[{'name': 'sightseeing_tours', 'localized_name': 'Tours'}, {'name': 'activities', 'localized_name': 'Activities'}, {'name': 'outdoor_activities', 'localized_name': 'Outdoor Activities'}]",,0,https://www.tripadvisor.com/Attraction_Review-g14134359-d23203650-Reviews-The_Pedal_Ship-Toyosu_Koto_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,http://www.velo-jp.com/,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: 15:30 - 17:00', 'Saturday: 11:30 - 17:00', 'Sunday: 11:30 - 17:00']",[]
12223426,The History Museum of J-Koreans,,139.73703,35.651543,tokyo,Minato,Asia/Tokyo,"1-7-32 Minamiazabu, Minato 106-0047 Tokyo Prefecture",,JPY,2,"[{'name': 'museums', 'localized_name': 'Museums'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",3.5,3,https://www.tripadvisor.com/Attraction_Review-g1066451-d12223426-Reviews-The_History_Museum_of_J_Koreans-Minato_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,http://www.j-koreans.org/,,['7278767']
13965316,Kagurazaka Gokanshi Pareana,,139.73827,35.70268,tokyo,Shinjuku,Asia/Tokyo,"1-2 Shiroganecho, Shinjuku 162-0816 Tokyo Prefecture",,JPY,2,"[{'name': 'shopping', 'localized_name': 'Shopping'}, {'name': 'museums', 'localized_name': 'Museums'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",,0,https://www.tripadvisor.com/Attraction_Review-g1066457-d13965316-Reviews-Kagurazaka_Gokanshi_Pareana-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,https://www.facebook.com/%E3%81%8B%E3%81%90%E3%82%89%E3%81%96%E3%81%8B-%E4%BA%94%E6%84%9F%E8%82%86%E3%83%91%E3%83%AC%E3%82%A2%E3%83%8A-459350244142941/,,['7278769']
16855417,Samezu Irie Square,,139.74411,35.60312,tokyo,Shinagawa,Asia/Tokyo,"1-13-1 Higashioi, Shinagawa 140-0011 Tokyo Prefecture",,JPY,2,"[{'name': 'fun_games', 'localized_name': 'Fun & Games'}, {'name': 'nature_parks', 'localized_name': 'Nature & Parks'}, {'name': 'attractions', 'localized_name': 'Attractions'}, {'name': 'activities', 'localized_name': 'Activities'}]",3.0,2,https://www.tripadvisor.com/Attraction_Review-g1066854-d16855417-Reviews-Samezu_Irie_Square-Shinagawa_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,http://shinagawa-kanko.or.jp/spot/samezuiriehiroba/,,['7278774']
15780077,Tsubasa Bridge,,139.85522,35.6541,tokyo,Edogawa,Asia/Tokyo,"1 Rinkaicho, Edogawa 134-0086 Tokyo Prefecture",,JPY,2,"[{'name': 'landmarks', 'localized_name': 'Sights & Landmarks'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",3.5,2,https://www.tripadvisor.com/Attraction_Review-g1066445-d15780077-Reviews-Tsubasa_Bridge-Edogawa_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,,,[]
13152754,Horin-ji Temple,,139.78911,35.703415,tokyo,Taito,Asia/Tokyo,"4-15-2 Kuramae, Taito 111-0051 Tokyo Prefecture",,JPY,2,"[{'name': 'landmarks', 'localized_name': 'Sights & Landmarks'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",2.5,3,https://www.tripadvisor.com/Attraction_Review-g1066461-d13152754-Reviews-Horin_ji_Temple-Taito_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,,,['7277907']
15153799,Maito Kuramae Honten,,139.78987,35.703632,tokyo,Taito,Asia/Tokyo,"4-14-12 Kuramae 1F, Taito 111-0051 Tokyo Prefecture",,JPY,2,"[{'name': 'classes', 'localized_name': 'Classes & Workshops'}, {'name': 'shopping', 'localized_name': 'Shopping'}, {'name': 'activities', 'localized_name': 'Activities'}]",3.0,1,https://www.tripadvisor.com/Attraction_Review-g1066461-d15153799-Reviews-Maito_Kuramae_Honten-Taito_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,http://maitokomuro.com/shop-list/,"['Monday: Closed', 'Tuesday: 11:30 - 18:30', 'Wednesday: 11:30 - 18:30', 'Thursday: 11:30 - 18:30', 'Friday: 11:30 - 18:30', 'Saturday: 11:30 - 18:30', 'Sunday: 11:30 - 18:30']",['7277907']
6699646,Urayasu Local Museum,,139.90128,35.655098,tokyo,Urayasu,Asia/Tokyo,"1-2-7 Nekozane, Urayasu 279-0004 Chiba Prefecture",,JPY,2,"[{'name': 'museums', 'localized_name': 'Museums'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",4.0,51,https://www.tripadvisor.com/Attraction_Review-g298162-d6699646-Reviews-Urayasu_Local_Museum-Urayasu_Chiba_Prefecture_Kanto.html?m=66827,http://www.city.urayasu.lg.jp/kanko/kyodo/,"['Monday: Closed', 'Tuesday: 09:30 - 17:00', 'Wednesday: 09:30 - 17:00', 'Thursday: 09:30 - 17:00', 'Friday: 09:30 - 17:00', 'Saturday: 09:30 - 17:00', 'Sunday: 09:30 - 17:00']",[]
13336839,Katsushima Bridge,,139.74788,35.595768,tokyo,Shinagawa,Asia/Tokyo,"4 Yashio, Shinagawa 140-0003 Tokyo Prefecture",,JPY,2,"[{'name': 'landmarks', 'localized_name': 'Sights & Landmarks'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",3.0,1,https://www.tripadvisor.com/Attraction_Review-g1066854-d13336839-Reviews-Katsushima_Bridge-Shinagawa_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,,,['7278774']
12318019,Motoshimmeigu,,139.74075,35.653522,tokyo,Mita,Asia/Tokyo,"1-4-74, Mita, Minato 108-0073 Tokyo Prefecture",,JPY,2,"[{'name': 'landmarks', 'localized_name': 'Sights & Landmarks'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",3.5,3,https://www.tripadvisor.com/Attraction_Review-g14129732-d12318019-Reviews-Motoshimmeigu-Mita_Minato_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,http://motoshinmei.or.jp/,,['7278767']
9974956,Arigato Japan Food Tours,,139.7365,35.6532,tokyo,Minato,Asia/Tokyo,Minato 106-0045 Tokyo Prefecture,,JPY,2,"[{'name': 'food_drink', 'localized_name': 'Food & Drink'}, {'name': 'sightseeing_tours', 'localized_name': 'Tours'}, {'name': 'activities', 'localized_name': 'Activities'}]",5.0,1461,https://www.tripadvisor.com/Attraction_Review-g1066451-d9974956-Reviews-Arigato_Japan_Food_Tours-Minato_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,http://arigatojapan.co.jp/,"['Monday: 09:00 - 21:00', 'Tuesday: 09:00 - 21:00', 'Wednesday: 09:00 - 21:00', 'Thursday: 09:00 - 21:00', 'Friday: 09:00 - 21:00', 'Saturday: 09:00 - 21:00', 'Sunday: 09:00 - 21:00']",['7278770']
3782407,Tokyo Port Wildbird Park,,139.76022,35.583946,tokyo,Ota,Asia/Tokyo,"3-1 Tokai, Ota 143-0001 Tokyo Prefecture",,JPY,2,"[{'name': 'nature_parks', 'localized_name': 'Nature & Parks'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",4.0,42,https://www.tripadvisor.com/Attraction_Review-g1066454-d3782407-Reviews-Tokyo_Port_Wildbird_Park-Ota_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,http://www.wildbirdpark.jp/,,['7278774']
23135074,Nippon Touch,,139.93529,35.701855,tokyo,Ichikawa,Asia/Tokyo,"Ichikawa Clover Heights Mori 105, Ichikawa 272-0014 Chiba Prefecture",,JPY,2,"[{'name': 'sightseeing_tours', 'localized_name': 'Tours'}, {'name': 'activities', 'localized_name': 'Activities'}]",,0,https://www.tripadvisor.com/Attraction_Review-g1021146-d23135074-Reviews-Nippon_Touch-Ichikawa_Chiba_Prefecture_Kanto.html?m=66827,http://nippon-touch.com/,,[]
1626639,Jonanjima SeasidePark,,139.7841,35.577915,tokyo,Ota,Asia/Tokyo,"4-2-2 Jonanjima, Ota 143-0002 Tokyo Prefecture",,JPY,2,"[{'name': 'nature_parks', 'localized_name': 'Nature & Parks'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",4.5,241,https://www.tripadvisor.com/Attraction_Review-g1066454-d1626639-Reviews-Jonanjima_SeasidePark-Ota_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,,"['Monday: 00:00 - 23:59', 'Tuesday: 00:00 - 23:59', 'Wednesday: 00:00 - 23:59', 'Thursday: 00:00 - 23:59', 'Friday: 00:00 - 23:59', 'Saturday: 00:00 - 23:59', 'Sunday: 00:00 - 23:59']",['7278774']
